Barrido no. 1 , datos por completar: 486
Barrido no. 2 , datos por completar: 310
Barrido no. 3 , datos por completar: 196
Barrido no. 4 , datos por completar: 116
Barrido no. 5 , datos por completar: 77
Barrido no. 6 , datos por completar: 52
Barrido no. 7 , datos por completar: 37
Barrido no. 8 , datos por completar: 20
Barrido no. 9 , datos por completar: 10
Barrido no. 10 , datos por completar: 5
Barrido no. 11 , datos por completar: 0
Barrido no. 12 , datos por completar: 0
Barrido no. 13 , datos por completar: 0
Barrido no. 14 , datos por completar: 0
Barrido no. 15 , datos por completar: 0
Barrido no. 16 , datos por completar: 0
Barrido no. 17 , datos por completar: 0
Barrido no. 18 , datos por completar: 0
Barrido no. 19 , datos por completar: 0
Barrido no. 20 , datos por completar: 0
Barrido no. 21 , datos por completar: 0
Barrido no. 22 , datos por completar: 0
Barrido no. 23 , datos por completar: 0
Barrido no. 24 , datos por completar: 0
Barrido no. 25 , datos por completar: 0
Barrido no. 26 , datos por completar: 0
Barrido no. 27 , datos por completar: 0
Barrido no. 28 , datos por completar: 0
Barrido no. 29 , datos por completar: 0
Barrido no. 30 , datos por completar: 0
